classifier_name,dataset_name,accuracy
9{4},GunPointOldVersusYoung,1
9{4},Ham,0.714285714
9{4},HandOutlines,0.943243243
9{4},Haptics,0.538961039
9{4},Herring,0.703125
9{4},HouseTwenty,0.966386555
9{4},InlineSkate,0.456363636
9{4},InsectEPGRegularTrain,1
9{4},InsectEPGSmallTrain,0.991967871
9{4},InsectWingbeatSound,0.669191919
9{4},ItalyPowerDemand,0.965986395
9{4},LargeKitchenAppliances,0.845333333
9{4},Lightning2,0.721311475
9{4},Lightning7,0.794520548
9{4},Mallat,0.930063966
9{4},Meat,0.983333333
9{4},MedicalImages,0.789473684
9{4},MelbournePedestrian,0.959409594
9{4},MiddlePhalanxOutlineAgeGroup,0.584415584
9{4},MiddlePhalanxOutlineCorrect,0.848797251
9{4},MiddlePhalanxTW,0.551948052
9{4},MixedShapesRegularTrain,0.972783505
9{4},MixedShapesSmallTrain,0.949278351
9{4},MoteStrain,0.930511182
9{4},NonInvasiveFetalECGThorax1,0.943002545
9{4},NonInvasiveFetalECGThorax2,0.960305344
9{4},OSULeaf,0.950413223
9{4},OliveOil,0.933333333
9{4},PLAID,0.945996276
9{4},PhalangesOutlinesCorrect,0.814685315
9{4},Phoneme,0.28850211
9{4},PickupGestureWiimoteZ,0.88
9{4},PigAirwayPressure,0.841346154
9{4},PigArtPressure,0.985576923
9{4},PigCVP,0.947115385
9{4},Plane,1
9{4},PowerCons,0.988888889
9{4},ProximalPhalanxOutlineAgeGroup,0.848780488
9{4},ProximalPhalanxOutlineCorrect,0.890034364
9{4},ProximalPhalanxTW,0.814634146
9{4},RefrigerationDevices,0.466666667
9{4},Rock,0.8
9{4},ScreenType,0.485333333
9{4},SemgHandGenderCh2,0.883333333
9{4},SemgHandMovementCh2,0.646666667
9{4},SemgHandSubjectCh2,0.862222222
9{4},ShakeGestureWiimoteZ,0.9
9{4},ShapeletSim,1
9{4},ShapesAll,0.915
9{4},SmallKitchenAppliances,0.837333333
9{4},SmoothSubspace,0.953333333
9{4},SonyAIBORobotSurface1,0.891846922
9{4},SonyAIBORobotSurface2,0.92339979
